location,bath,price,total_sqft_int,BHK
Sarjapur  Road,3.0,140.0,2497.0,3
Thanisandra,3.0,74.75,1436.0,3
Malleshwaram,2.0,75.0,1100.0,2
Thanisandra,3.0,120.0,1427.0,3
Akshaya Nagar,3.0,200.0,2061.0,3
Hebbal,4.0,477.0,5611.5,4
Shampura,4.0,150.0,2650.0,4
Devanahalli,2.0,68.52,1282.0,3
Kadugodi,2.0,34.0,1050.0,2
Vajarahalli,2.0,54.0,945.0,2
Hormavu,2.0,78.0,1500.0,2
Peenya,3.0,110.0,1870.0,3
Sarjapur,3.0,75.0,1600.0,3
Kudlu Gate,3.0,83.0,1535.0,3
Kanakpura Road,2.0,57.0,950.0,2
8th Phase JP Nagar,2.0,54.005,1073.5,2
Bommasandra Industrial Area,3.0,50.4,1280.0,3
Chandra Layout,2.0,85.05,1260.0,3
Hennur Road,8.0,250.0,5000.0,8
Kasavanhalli,3.0,105.0,1563.05,3
ISRO Layout,2.0,60.0,1000.0,2
Anandapura,2.0,43.76,1167.0,2
Vishveshwarya Layout,7.0,225.0,4000.0,7
Kothanur,3.0,110.0,1828.0,3
Kengeri Satellite Town,2.0,35.0,890.0,2
Basavanapura,3.0,46.74,1612.0,3
Kannamangala,2.0,58.0,957.0,2
Sanjeevini Nagar,4.0,235.0,2795.0,3
Hulimavu,2.0,50.0,1125.0,2
Electronic City Phase II,2.0,30.6,1020.0,2
Kalena Agrahara,2.0,50.0,1200.0,2
Thanisandra,3.0,135.0,1735.0,3
Thanisandra,3.0,145.0,2050.0,3
Mahalakshmi Layout,4.0,760.0,3750.0,4
Yarandahalli,2.0,48.0,1350.0,3
Hosa Road,2.0,32.0,1063.0,2
Keshava Nagar,3.0,150.0,1904.0,3
Whitefield,4.0,420.0,4200.0,4
RMV Extension,3.0,175.0,2000.0,3
Sarjapur,2.0,43.49,1242.5,2
Tejaswini Nagar,2.0,75.0,1425.0,3
Electronic City,2.0,64.5,1500.0,3
Electronic City,2.0,60.0,1060.0,2
Jai Bheema Nagar,2.0,70.0,1470.0,3
Attibele,1.0,11.0,450.0,1
Electronic City,2.0,64.5,1152.0,2
CHIKKATIRUPATHI,3.0,100.0,1500.0,3
Nagavara,1.0,14.0,400.0,1
Malleshwaram,1.0,67.0,705.0,1
Hulimavu,2.0,51.0,1242.0,2
Hebbal Kempapura,3.0,155.0,1700.0,3
Thanisandra,3.0,145.0,2144.0,3
8th block Koramangala,3.0,300.0,1846.0,3
Jakkuru Layout,2.0,55.7,1340.0,2
KR Puram,2.0,56.8,1277.5,2
Marathahalli,2.0,52.0,1200.0,2
Pattandur Agrahara,2.0,80.0,1550.0,3
Marathahalli,2.0,60.0,1200.0,2
Yelahanka,2.0,98.0,1327.0,2
Kothanur,2.0,58.0,1186.0,2
MS Pallya,3.0,115.0,1783.0,3
Nagasandra,2.0,48.0,980.0,2
EPIP Zone,2.0,82.0,1285.0,2
Kogilu,3.0,88.0,1909.0,3
Panathur,2.0,87.0,1359.0,2
Nagondanahalli,2.0,43.5,1207.0,2
1st Block Jayanagar,4.0,428.0,2850.0,4
Kammasandra,3.0,65.0,1595.0,3
"Off Sarjapur Road, ",3.0,89.0,1798.0,3
Electronics City Phase 1,3.0,78.29,1475.0,3
Tala Cauvery Layout,3.0,100.0,1580.0,3
Dasarahalli,2.0,65.0,1295.0,2
Magadi Road,6.0,141.0,3600.0,6
Electronic City,1.0,27.0,589.0,1
Ngef Layout,3.0,78.0,1415.0,3
Sarjapur  Road,3.0,98.29,1787.0,3
Sarjapur  Road,3.0,125.0,1787.0,3
"Lakshminarayanapura, Electronic City Phase 2",4.0,75.5,2000.0,4
Muthurayya Swamy Layout,4.0,260.0,2405.0,3
7th Phase JP Nagar,2.0,72.0,1080.0,2
Shantiniketan Layout,2.0,115.0,1500.0,2
Hebbal,3.0,119.0,1900.0,3
Dommasandra,2.0,22.14,805.0,2
Dodda Nekkundi Extension,2.0,60.0,1148.0,2
Mylasandra,2.0,55.0,1110.0,2
Kalyan nagar,2.0,110.0,1290.0,2
Dr Shivarama Karantha Nagar,2.0,65.0,1500.0,3
Bank Of Baroda Colony,2.0,39.0,1080.0,2
Ramamurthy Nagar,5.0,150.0,3500.0,5
Kullappa Colony,2.0,60.0,1060.0,2
Chandapura,1.0,16.45,645.0,1
Chandapura,1.0,16.45,645.0,1
Ashwath Nagar,3.0,84.0,1644.0,3
Ncpr Industrial Layout,2.0,72.5,1285.0,2
Electronic City,3.0,90.0,1200.0,3
Meenakunte,3.0,280.0,4050.0,3
OMBR Layout,3.0,185.0,2420.0,3
Anand Nagar,2.0,55.0,1060.0,2
7th Phase JP Nagar,2.0,93.0,1270.0,2
Shree Ananth Nagar Layout,2.0,22.5,900.0,2
Kundalahalli Colony,2.0,69.0,1280.0,2
Electronic City,2.0,63.0,1108.0,2
Coffee Board Layout,3.0,170.0,3045.0,3
Ambedkar Nagar,3.0,300.0,2900.0,4
Raja Rajeshwari Nagar,2.0,43.9,1295.0,2
Budigere,2.0,59.9,1162.0,2
KUDLU MAIN ROAD,3.0,46.0,1464.0,3
Geleyara Balaga Layout,1.0,26.0,700.0,2
Kalena Agrahara,3.0,120.0,1804.0,3
Sarjapur,2.0,32.0,913.0,2
Talaghattapura,3.0,131.0,1868.0,3
Kengeri Satellite Town,2.0,45.0,883.0,2
Sundara Nagar,2.0,110.0,900.0,2
Hegde Nagar,3.0,132.0,2026.0,3
Balagere,2.0,80.9,1210.0,2
Meenakunte,4.0,250.0,4111.0,4
Kadugodi,3.0,91.45,1762.0,3
Gollarapalya Hosahalli,2.0,34.5,861.0,2
7th Phase JP Nagar,2.0,100.0,1420.0,3
Electronics City Phase 1,3.0,78.8,1490.0,3
Bisuvanahalli,2.0,46.0,1075.0,3
Old Madras Road,2.0,94.0,1425.0,3
Kalena Agrahara,2.0,40.0,1200.0,2
Kaggadasapura,2.0,56.0,1280.0,3
Silver Springs Layout,2.0,50.0,1084.0,2
Haralur Road,2.0,44.0,1027.0,2
Electronic City Phase II,2.0,45.0,1069.0,2
Hebbal,2.0,98.2,1349.0,2
9th Phase JP Nagar,2.0,50.0,1005.0,2
Jakkur,2.0,75.0,1417.0,2
TC Palaya,3.0,98.0,1475.0,3
Maruthi Sevanagar,2.0,47.0,950.0,2
RMV 2nd Stage,4.0,120.0,2000.0,4
Singasandra,2.0,29.5,1010.0,2
Kalena Agrahara,2.0,70.0,1425.0,3
Vijayanagar,3.0,100.0,1450.0,3
Kothanur,3.0,105.0,1847.0,3
AECS Layout,2.0,45.0,1100.0,2
Kanakpura Road,1.0,26.0,525.0,1
Mallasandra,3.0,95.0,1665.0,3
JP Nagar,3.0,150.0,1850.0,3
Panathur,2.0,100.0,1438.0,2
Sunder Ram Shetty Nagar,3.0,115.0,1560.0,3
Malleshpalya,2.0,46.5,1140.0,2
Kodathi,2.0,27.0,850.0,2
Whitefield,2.0,75.0,1280.0,2
Munnekollal,2.0,52.0,1170.0,2
Motappa Layout,2.0,51.0,1113.0,2
Hennur Road,2.0,83.09,1385.0,2
Electronic City,2.0,65.0,1128.0,2
Marathahalli,2.0,128.0,1200.0,2
Rajaji Nagar,3.0,415.0,2390.0,3
Giri Nagar,4.0,400.0,2400.0,4
Manayata Tech Park,2.0,55.0,1200.0,2
Kaval Byrasandra,2.0,52.0,1200.0,2
Basavanna Nagar,3.0,95.0,1645.0,3
Sarjapur  Road,2.0,67.0,1000.0,2
Haralur Road,4.0,198.0,2650.0,4
6th Phase JP Nagar,2.0,74.0,1192.0,2
Ulsoor,3.0,215.0,2135.0,3
Uttarahalli,2.0,45.0,1020.0,2
T.C PALYA,2.0,79.0,1200.0,2
Muneshwara Nagar,2.0,48.0,1230.0,2
 Devarachikkanahalli,2.0,40.0,1250.0,2
Kalena Agrahara,2.0,76.0,1325.0,2
7th Phase JP Nagar,3.0,150.0,1850.0,3
Basaveshwara Nagar,2.0,65.0,1200.0,2
Bull Temple Road,2.0,140.0,1350.0,3
Bommasandra,3.0,49.36,1260.0,3
Prashanth Nagar,3.0,150.0,1800.0,3
Ardendale,2.0,43.25,1100.0,2
Harlur,2.0,77.0,1508.0,2
Sampigehalli,3.0,75.0,1592.0,3
Akshaya Nagar,2.0,57.0,1388.0,2
Electronic City Phase II,1.0,28.35,630.0,1
RMV,3.0,365.0,2000.0,3
Banashankari3rd stage bigbazar,3.0,125.0,1762.0,3
Bagalur Main Road,2.0,50.0,950.0,2
Kodihalli,5.0,335.0,3252.0,4
Magadi Road,2.0,50.0,1116.0,2
Narayanapura,2.0,89.04,1308.0,2
MS Pallya,3.0,90.0,1200.0,3
Binny Mills Employees Colony,4.0,230.0,1500.0,4
Bannerghatta Road,1.0,18.5,500.0,1
Hennur,2.0,52.0,1075.0,2
Chandapura,1.0,11.66,530.0,1
Bellandur,2.0,66.0,1205.0,2
5th Phase JP Nagar,2.0,60.0,1075.0,2
KR Puram,2.0,39.0,930.0,2
Hebbal,5.0,212.0,2483.0,4
Kodigehaali,2.0,55.0,1166.0,2
Bannerghatta Road,2.0,65.0,1050.0,2
Gopalapura,3.0,275.0,2023.71,3
Begur Road,2.0,46.8,1200.0,2
Lakshminarayana Pura,2.0,108.0,1600.0,3
8th Phase JP Nagar,1.0,29.9,451.0,1
Electronic City,3.0,95.0,1800.0,3
Hegde Nagar,3.0,115.0,1801.0,3
Mahadevpura,2.0,90.0,1451.0,2
Anekal,1.0,36.0,1200.0,2
Begur Road,2.0,44.0,1160.0,2
"Hoodi Circle, ",3.0,79.0,1629.0,3
Vijayanagar,2.0,134.0,1580.0,3
7th Phase JP Nagar,2.0,94.0,1245.0,2
Raja Rajeshwari Nagar,2.0,45.79,1145.0,2
Sompura,2.0,33.0,825.0,2
Yeshwanthpur,3.0,108.0,1693.0,3
Ashirvad Colony,2.0,58.0,1460.0,2
Doddathoguru,2.0,32.0,1050.0,2
Dodda Nekkundi,2.0,55.0,1260.0,2
Hosur Road,2.0,120.0,1656.0,2
Chandapura,3.0,45.0,1208.0,3
Whitefield,3.0,161.0,1910.0,3
Whitefield,4.0,230.0,3252.0,4
Battarahalli,2.0,65.0,1200.0,2
7th Phase JP Nagar,2.0,82.0,1175.0,2
Kamakshipalya,2.0,165.0,1000.0,2
Rajaji Nagar,3.0,410.0,2390.0,3
Rajaji Nagar,6.0,2200.0,12000.0,7
Sanne Amanikere,2.0,38.0,1185.0,2
Kengeri,2.0,38.0,750.0,2
Amco Colony,3.0,88.0,1760.0,3
Billekahalli,2.0,62.0,1125.0,2
Nagarbhavi,3.0,150.0,1350.0,3
Anandapura,2.0,55.0,1000.0,2
Bommasandra Industrial Area,2.0,31.48,1090.0,2
TC Palaya,2.0,60.0,1200.0,2
Budigere,4.0,103.0,1991.0,3
Bommasandra,2.0,26.5,1060.0,2
Ambalipura,2.0,75.0,1105.0,2
Hoodi,2.0,67.0,985.0,2
CV Raman Nagar,2.0,55.0,1120.0,2
Samethanahalli,2.0,55.0,1069.0,2
Marathahalli,3.0,140.0,1933.0,3
Hosur Road,2.0,69.0,1194.0,2
Brookefield,2.0,69.0,1150.0,2
Yelenahalli,2.0,47.12,1240.0,2
Raja Rajeshwari Nagar,2.0,48.1,1419.0,2
Richmond Town,4.0,240.0,2150.0,3
Suddaguntepalya,3.0,55.0,1450.0,3
Udayapur Village,3.0,68.29,1630.0,3
Dasanapura,1.0,40.0,708.0,2
Bellandur,2.0,76.0,1250.0,2
7th Phase JP Nagar,2.0,95.0,1400.0,3
Ardendale,3.0,100.0,1750.0,3
Vittasandra,2.0,71.0,1404.0,2
Electronic City,1.0,34.65,630.0,1
Harlur,3.0,135.0,1752.12,3
Raja Rajeshwari Nagar,2.0,55.47,1295.0,2
Giri Nagar,3.0,252.0,1800.0,3
Sarjapur  Road,2.0,74.03,1346.0,2
Hormavu,2.0,55.0,1150.0,2
Chikkabidarakallu,4.0,325.0,3309.0,4
AECS Layout,3.0,98.0,1620.0,3
Marathahalli,2.0,46.96,950.0,2
1 Giri Nagar,9.0,360.0,5000.0,11
Hoysalanagar,2.0,30.0,850.0,2
Padmanabhanagar,2.0,63.0,1020.0,2
Chikkalasandra,2.0,50.0,1100.0,2
Defence Colony,2.0,126.0,1150.0,2
Hebbal,2.0,130.0,1760.0,3
Ambalipura,3.0,110.0,1800.0,3
Akshaya Nagar,2.0,54.0,1070.0,2
2nd Stage Nagarbhavi,4.0,220.0,1500.0,4
Vidyaranyapura,2.0,95.0,1440.0,2
Amruthahalli,2.0,40.0,900.0,2
Koramangala,2.0,165.0,1320.0,2
Kodigehalli,2.0,98.0,1270.0,2
Patelappa Layout,2.0,62.0,1200.0,2
Ring Road Nagarbhavi,4.0,235.0,4800.0,4
NS Palya,2.0,74.0,1200.0,2
Subramanyapura,2.0,50.17,929.0,2
KUDLU MAIN ROAD,3.0,56.0,1464.0,3
7th Phase JP Nagar,4.0,400.0,3600.0,4
Bank Avenue,4.0,99.0,2000.0,4
Chikkalasandra,2.0,49.0,1208.0,2
Hebbal Kempapura,2.0,60.0,1130.0,2
Surabhi Layout,3.0,120.0,1753.0,3
Hoodi,2.0,94.42,1196.0,2
5th Phase JP Nagar,3.0,52.5,1150.0,2
Electronic City,2.0,63.0,1128.0,2
Omkar Nagar,2.0,53.0,1000.0,2
Kereguddadahalli,2.0,32.0,950.0,2
Maragondanahalli,2.0,45.0,720.0,2
Lingadheeranahalli,3.0,95.0,1511.0,3
Silk Board,3.0,58.0,1300.0,3
Shampura,2.0,26.0,375.0,1
Vidyaranyapura,2.0,38.0,1062.0,2
Kada Agrahara,2.0,40.0,1115.0,2
JP Nagar,2.0,35.0,1000.0,2
Kambipura,2.0,45.0,883.0,2
Sarjapur  Road,2.0,70.0,1195.0,2
Medahalli,1.0,41.0,700.0,1
Vittasandra,2.0,67.0,1246.0,2
Kashi Nagar,4.0,80.0,1600.0,4
Begur Road,3.0,65.0,1584.0,3
"Yemlur, Old Airport Road, ",3.0,115.0,1595.0,3
VHBCS Layout,2.0,110.0,1353.0,2
Electronic City,3.0,125.0,1599.0,3
Whitefield,2.0,70.0,1150.0,2
KR Puram,2.0,42.74,1155.0,2
Ittamadu,2.0,85.0,1200.0,1
Electronic City Phase II,2.0,25.0,1000.0,2
Rajiv Nagar,3.0,160.0,1867.0,3
Ramagondanahalli,2.0,47.0,1251.0,2
Gattahalli,2.0,45.5,1028.0,2
Arekere,2.0,45.0,1222.0,2
Bannerghatta Road,2.0,66.0,1170.0,3
Hebbal,4.0,245.0,2400.0,3
Ramanjaneyanagar,2.0,48.48,1385.0,3
HSR Layout,2.0,68.0,1372.0,2
Mico Layout,9.0,210.0,5000.0,9
7th Block Jayanagar,3.0,528.0,3000.0,5
Whitefield,3.0,101.0,1768.0,3
Byatarayanapura,2.0,90.0,1325.0,3
Electronic City,3.0,99.0,1599.0,3
2nd Phase JP Nagar,3.0,499.0,2610.0,3
Uttarahalli,2.0,63.0,1286.0,2
Kammanahalli,5.0,140.0,2845.0,5
K G Colony,2.0,50.0,1600.0,3
Hennur Road,2.0,63.77,1317.5,2
Munnekollal,2.0,53.67,1102.0,2
Herohalli,1.0,80.0,1800.0,2
Chikkabanavar,2.0,40.0,950.0,2
Kanakpura Road,1.0,27.25,525.0,1
Marathahalli,4.0,175.0,1780.0,4
3rd Block Hrbr Layout,2.0,80.0,1056.0,2
Bannerghatta Road,1.0,33.32,595.0,1
Ittamadu,2.0,50.0,1080.0,2
7th Phase JP Nagar,3.0,160.0,2225.0,3
Bommasandra,2.0,28.15,1126.0,2
Electronics City Phase 1,3.0,84.0,1490.0,3
HRBR Layout,4.0,300.0,2000.0,4
Sarjapur  Road,3.0,100.0,1550.0,3
Ashwini layout,2.0,55.0,1160.0,2
Whitefield,4.0,315.0,4144.0,4
Sarjapur  Road,3.0,125.0,2100.0,3
Vittasandra,2.0,69.3,1404.0,2
Sarjapur  Road,4.0,225.0,2230.0,4
Marathalli bridge,3.0,120.0,1544.0,3
Banashankari Stage III,2.0,58.7,1305.0,3
Marathahalli,2.0,80.0,1230.0,2
T.C PALYA,2.0,65.0,1200.0,2
Gottigere,2.0,45.0,967.0,2
Byatarayanapura,1.0,36.0,540.0,1
Hormavu,1.0,46.0,715.0,1
Whitefield,3.0,313.0,2500.0,3
Dooravani Nagar,3.0,180.0,1578.0,3
Mysore Road,2.0,48.95,1020.0,2
Jigani,2.0,40.0,1020.0,2
Koramangala,2.0,102.0,1253.0,2
JCR Layout,2.0,42.0,1180.0,2
Nehru Nagar,2.0,38.0,961.0,2
Kanakapura,3.0,75.0,1419.0,3
Harlur,3.0,150.0,1709.0,3
Papareddipalya,2.0,115.0,1600.0,2
Venkatapura,1.0,18.5,416.0,1
Sanjay nagar,2.0,98.0,1100.0,2
Sneha Colony,2.0,45.0,1260.0,2
RMV Extension,3.0,85.0,1630.0,3
Kalena Agrahara,2.0,85.0,1450.0,3
Konanakunte,3.0,223.0,2791.0,3
Hosapalya,1.0,90.0,600.0,1
Ashwini layout,1.0,60.0,834.0,1
Doddagubbi,4.0,70.0,1125.0,3
Arekere,3.0,140.0,2060.0,3
Malleshwaram,7.0,2200.0,12000.0,7
Gottigere,2.0,25.0,891.0,2
Raja Rajeshwari Nagar,2.0,49.07,1133.0,2
Sector 6 HSR Layout,5.0,260.0,3000.0,4
Brookefield,5.0,425.0,2440.0,4
Vidyaranyapura,2.0,55.0,1200.0,2
Kaggadasapura,2.0,40.0,1140.0,2
ITI Layout,5.0,250.0,2160.0,6
Raja Rajeshwari Nagar,2.0,42.0,1090.0,2
Whitefield,4.0,360.0,4104.0,4
Whitefield,3.0,100.0,1790.0,3
Hebbal,3.0,134.0,1920.0,3
HRBR Layout,2.0,95.0,1374.0,2
Bannerghatta Road,3.0,95.0,1445.0,3
Kanakapura,1.0,36.0,711.0,1
Tumkur Road,3.0,95.0,1500.0,3
Whitefield,3.0,100.0,1720.0,3
Vasanthapura,3.0,60.0,1400.0,3
Kundalahalli,2.0,49.0,1030.0,2
Mysore Road,2.0,85.0,1200.0,2
Hosahalli,3.0,70.0,1375.0,3
Hegde Nagar,1.0,56.0,1050.0,2
Jalahalli,3.0,160.0,2250.0,3
Bellandur,2.0,50.0,1000.0,2
Jalahalli West,1.0,25.0,469.0,1
Marathahalli,4.0,250.0,3800.0,4
Kambipura,2.0,29.0,883.0,2
GM Palaya,2.0,86.0,1820.0,3
Singasandra,2.0,65.0,1440.0,3
near Ramanashree California resort,4.0,160.0,3600.0,6
Malleshwaram,5.0,325.0,2500.0,4
Mahadevpura,2.0,48.0,1225.0,2
"6th block banashankari 3rd stage, 100 feet ORR",3.0,660.0,4000.0,3
Chikkalasandra,2.0,52.8,875.0,2
Jalahalli East,1.0,40.0,750.0,1
6th Phase JP Nagar,2.0,80.0,1180.0,2
Haralur Road,2.0,47.0,1194.0,2
Poornapragna Housing Society Layout,2.0,52.2,1160.0,2
Hosakerehalli,3.0,262.0,2378.0,3
Sarjapur,2.0,60.0,1128.0,2
Hebbal,3.0,150.0,1500.0,3
Huskur,2.0,35.23,1220.0,3
Bommasandra,3.0,46.0,1200.0,3
Haralur Road,5.0,260.0,3385.0,4
Nagondanahalli,3.0,66.0,1641.0,3
Horamavu Agara,2.0,45.0,1200.0,2
Raja Rajeshwari Nagar,2.0,67.39,1260.0,2
Bisuvanahalli,2.0,45.0,1075.0,3
Thanisandra,3.0,130.0,1702.0,3
Shanthala Nagar,2.0,200.0,1630.0,2
Raja Rajeshwari Nagar,2.0,38.55,1141.0,2
Shantiniketan Layout,3.0,108.0,2072.0,3
Herohalli,2.0,70.0,1200.0,3
Teachers Colony,3.0,77.0,1350.0,3
Bettahalsoor,4.0,445.0,4046.0,4
Srinivasa Nagar,2.0,78.34,1180.0,3
Langford Town,2.0,115.0,1355.0,2
Sulthangunta,1.0,50.0,600.0,1
Bannerghatta Road,2.0,120.0,1640.0,3
Kodichikkanahalli,2.0,57.0,1190.0,3
OMBR Layout,4.0,375.0,2400.0,4
Marathahalli,2.0,49.85,1019.0,2
Ambedkar Colony,3.0,165.0,1875.0,3
Brookefield,3.0,140.0,1200.0,3
Lingadheeranahalli,3.0,109.0,1683.0,3
Kaggadasapura,3.0,83.3,1515.0,3
Varthur Road,2.0,61.75,1083.0,2
Avalahalli,3.0,120.0,2300.0,3
Prakruthi Nagar,2.0,60.0,1240.0,2
Surabhi Layout,3.0,120.0,1750.0,3
Sadaramangala,2.0,43.48,1230.0,2
Anjanapura,3.0,139.0,1500.0,3
Abbigere,2.0,40.39,985.0,2
Tindlu,2.0,87.0,1500.0,3
Maruthi Sevanagar,2.0,44.0,950.0,2
B Narayanapura,2.0,98.5,1092.0,3
Electronic City Phase II,2.0,28.34,1090.0,2
Hennur Road,3.0,159.0,2264.0,3
Kammasandra,2.0,24.5,810.0,2
Green Garden Layout,2.0,45.0,1045.0,2
Hebbal,2.0,82.0,1337.0,2
Chandapura,2.0,32.0,1200.0,2
Koramangala,3.0,160.0,1580.0,3
Whitefield,4.0,91.0,1640.0,3
Silver Springs Layout,3.0,62.0,1570.0,3
Gubbalala,2.0,82.0,1470.0,3
7th Phase JP Nagar,2.0,71.0,1050.0,2
Dairy Circle,3.0,225.0,1855.0,3
Bannerghatta Road,2.0,90.0,1460.0,3
Hulimavu,3.0,100.0,1823.0,3
Hoysalanagar,3.0,57.0,1325.0,3
Jakkur,2.0,125.0,1590.0,3
Narayana Nagar 1st Block,2.0,48.0,1202.0,2
Haralur Road,2.0,53.0,1202.0,2
KSRTC Layout,2.0,62.5,1200.0,2
Panathur,3.0,118.0,1688.0,3
Kaval Byrasandra,2.0,52.0,1020.0,2
Sarjapur,2.0,47.0,1185.0,2
Ramagondanahalli,2.0,52.04,1235.0,2
Hosakerehalli,5.0,500.0,3205.0,4
Banashankari,2.0,37.64,1077.0,2
Kengeri Satellite Town,2.0,66.0,1415.0,3
EPIP Zone,3.0,162.0,2330.0,3
P&T Colony,1.0,20.03,425.0,1
Cunningham Road,4.0,1250.0,5270.0,4
New Gurappana Palya,2.0,48.0,1100.0,2
Mahadevpura,2.0,52.0,1150.0,2
Chelekare,1.0,60.0,600.0,1
Ambedkar Colony,2.0,140.0,1468.0,2
Palanahalli,5.0,550.0,4300.0,4
Whitefield,4.0,126.0,2280.0,3
Hegde Nagar,2.0,97.0,1341.0,2
Jakkur,2.0,77.0,1279.0,2
Electronic City Phase II,4.0,98.88,2225.0,4
Vadarpalya,3.0,85.0,1750.0,3
Kudlu,2.0,53.5,1152.0,2
Hulimavu,2.0,36.0,1300.0,2
Varthur Road,4.0,155.0,2760.0,4
5th Phase JP Nagar,2.0,39.0,1070.0,2
Uttarahalli,2.0,45.0,1101.0,2
V.V Puram,2.0,55.0,775.0,2
Yeshwanthpur,1.0,36.85,667.0,1
Electronic City,2.0,55.0,1070.0,2
Kundalahalli,2.0,57.99,735.0,2
Marathahalli,2.0,67.0,1215.0,2
Vishwapriya Layout,2.0,30.0,820.0,2
Banashankari Stage VI,2.0,59.935,1177.5,2
Battarahalli,3.0,89.61,1779.0,3
HMT Layout,2.0,58.0,1105.0,2
Jalahalli,2.0,150.0,1694.0,2
Hosakerehalli,3.0,203.0,2376.0,3
Kaggadasapura,2.0,41.0,1185.0,2
 Thanisandra,1.0,28.0,445.0,1
HSR Layout,3.0,75.0,1475.0,3
Gottigere,3.0,82.5,1618.0,3
Koramangala,2.0,65.0,1120.0,2
Marathahalli,3.0,152.0,2181.0,4
Bannerghatta Road,2.0,66.02,1179.0,2
Thanisandra,2.0,83.0,1296.0,2
Kaggadasapura,2.0,52.0,1275.0,2
Kathriguppe,2.0,77.0,1400.0,3
Gottigere,2.0,63.0,1222.0,2
Tumkur Road,3.0,112.0,1779.0,3
Haralur Road,2.0,61.0,1056.0,2
7th Phase JP Nagar,2.0,46.0,1100.0,2
Arekere,2.0,40.0,920.0,2
ITI Layout,2.0,75.0,1602.0,3
Padmanabhanagar,2.0,62.0,1176.0,2
Richmond Town,3.0,135.0,1352.0,3
Kasavanhalli,3.0,99.0,1717.0,3
